Order_id,Order_Date,Item_Name,Quantity,Product_Price,Total_products,order_Customer_id,Order_status
1388,10-01-2015 20.12,Onion Chutney,1,0.5,6,123,Ordered
1388,10-01-2015 20.12,Mint Sauce,1,0.5,6,123,Ordered
1388,10-01-2015 20.12,Lime Pickle,1,0.5,6,123,Ordered
1388,10-01-2015 20.12,Paratha,1,2.95,6,123,Ordered
2071,3/17/16 18:30,Plain Naan,1,2.6,6,123,Cancelled
2071,3/17/16 18:30,Saag Rice,1,3.95,6,123,Cancelled
2071,3/17/16 18:30,Chicken Chaat,1,4.95,6,123,Cancelled
2071,3/17/16 18:30,Sheek Kehab,1,4.95,6,123,Cancelled
2071,3/17/16 18:30,Madras,1,7.95,6,123,Cancelled
2071,3/17/16 18:30,Lamb Shashlick,1,9.95,6,123,Cancelled
2100,3/18/16 18:54,Mint Sauce,1,0.5,9,123,Completed
2100,3/18/16 18:54,Onion Chutney,1,0.5,9,123,Completed
2100,3/18/16 18:54,Plain Papadum,4,0.8,9,123,Completed
2100,3/18/16 18:54,Plain Naan,1,2.6,9,123,Completed
2100,3/18/16 18:54,Pilau Rice,1,2.95,9,123,Completed
2100,3/18/16 18:54,Mushroom Rice,1,3.95,9,123,Completed
2100,3/18/16 18:54,Bombay Aloo,1,5.95,9,123,Completed
2100,3/18/16 18:54,Madras,1,7.95,9,123,Completed
2100,3/18/16 18:54,Butter Chicken,1,9.95,9,123,Completed
2116,3/19/16 18:58,Mint Sauce,3,0.5,5,123,Pending
2116,3/19/16 18:58,Keema Naan,1,2.95,5,123,Pending
2116,3/19/16 18:58,Keema Rice,1,3.95,5,123,Pending
2116,3/19/16 18:58,Korma,1,8.95,5,123,Pending
2116,3/19/16 18:58,Chicken Biryani,1,9.95,5,123,Pending
2124,3/19/16 21:06,Plain Papadum,1,0.8,7,123,On the way
2124,3/19/16 21:06,Garlic Naan,1,2.95,7,123,On the way
2124,3/19/16 21:06,Onion Bhajee,1,3.95,7,123,On the way
2124,3/19/16 21:06,Curry Sauce,1,3.95,7,123,On the way
2124,3/19/16 21:06,Mushroom Rice,1,3.95,7,123,On the way
2124,3/19/16 21:06,Vegetable Roll,1,4.95,7,123,On the way
2124,3/19/16 21:06,Korma,1,8.95,7,123,On the way
9009,3/29/18 18:48,Raitha,1,2.95,5,456,Ordered
9009,3/29/18 18:48,Mushroom Rice,1,3.95,5,456,Ordered
9009,3/29/18 18:48,Bombay Aloo,1,5.95,5,456,Ordered
9009,3/29/18 18:48,Lamb Tikka Chilli Masala,1,8.95,5,456,Ordered
9009,3/29/18 18:48,Chicken Shashlick,1,9.95,5,456,Ordered
14385,4/18/19 17:08,Plain Rice,1,2.95,7,789,On the way
14385,4/18/19 17:08,Onion Naan,1,2.95,7,789,On the way
14385,4/18/19 17:08,Garlic Naan,1,2.95,7,789,On the way
14385,4/18/19 17:08,Peshwari Naan,1,2.95,7,789,On the way
14385,4/18/19 17:08,Bombay Aloo,1,5.95,7,789,On the way
14385,4/18/19 17:08,Chicken Tikka Pasanda,1,8.95,7,789,On the way
14385,4/18/19 17:08,Chicken Tikka Chilli Masala,1,8.95,7,789,On the way
16111,08-03-2019 19.29,Pilau Rice,1,2.95,4,193,Cancelled
16111,08-03-2019 19.29,Lamb Tikka Chilli Masala,1,8.95,4,193,Cancelled
16111,08-03-2019 19.29,Peshwari Naan,1,2.95,4,193,Cancelled
16111,08-03-2019 19.29,Saag Aloo,1,5.95,4,193,Cancelled
12340,12-06-2018 18.08,Pilau Rice,1,2.95,3,789,Pending
12340,12-06-2018 18.08,Royal Paneer,1,5.95,3,789,Pending
12340,12-06-2018 18.08,Chicken Tikka Chilli Masala,1,8.95,3,789,Pending
14853,5/16/19 20:14,Mango Chutney,1,0.5,6,789,Completed
14853,5/16/19 20:14,Plain Naan,1,2.6,6,789,Completed
14853,5/16/19 20:14,Pilau Rice,2,2.95,6,789,Completed
14853,5/16/19 20:14,Bombay Aloo,1,5.95,6,789,Completed
14853,5/16/19 20:14,Madras - Chicken Tikka,1,7.95,6,789,Completed
14853,5/16/19 20:14,Dupiaza - Chicken,1,8.95,6,789,Completed
16118,08-03-2019 20.25,Plain Papadum,2,0.8,6,193,Ordered
16118,08-03-2019 20.25,King Prawn Balti,1,12.95,6,193,Ordered
16118,08-03-2019 20.25,Garlic Naan,1,2.95,6,193,Ordered
16118,08-03-2019 20.25,Mushroom Rice,1,3.95,6,193,Ordered
16118,08-03-2019 20.25,Paneer Tikka Masala,1,8.95,6,193,Ordered
16118,08-03-2019 20.25,Mango Chutney,1,0.5,6,193,Ordered
